,Name,Width,Height,x0,y0,x1,y1,ObjectType
38,Appt Date,214.80000000000007,13.680000000000007,362.52,83.88,577.32,97.56,text fillup
39,Appt Time,214.8,13.68,364.32,62.76,579.12,76.44,text fillup
26,LAST NAME,276.00000000000006,13.67999999999995,306.604,739.196,582.604,752.876,text fillup
32,FIRST NAME,276.0,13.67999999999995,306.895,708.883,582.895,722.563,text fillup
27,ADDRESS,276.00000000000006,13.67999999999995,307.2,681.84,583.2,695.52,text fillup
28,PHONE,276.00000000000006,13.67999999999995,307.2,650.88,583.2,664.56,text fillup
29,F,8.879999999999995,6.0,534.24,628.08,543.12,634.08,checkbox
30,OHIP,276.00000000000006,7.680000000000064,307.2,595.8,583.2,603.48,text fillup
31,DIABETIC MEDICATIONS,184.19999999999993,13.680000000000064,393.72,563.4,577.92,577.08,text fillup
0,Cardiac Viability Scan PET Only 2,8.039999999999992,5.399999999999977,115.2,549.36,123.24,554.76,checkbox
1,Colorectal Cancer recurrent,8.039999999999992,5.399999999999977,115.2,528.84,123.24,534.24,checkbox
2,Esophageal Cancer,8.039999999999992,5.400000000000034,115.2,508.2,123.24,513.6,checkbox
3,Germ Cell Cancer recurrent,8.039999999999992,5.399999999999977,115.2,487.68,123.24,493.08,checkbox
34,CT,8.04000000000002,5.399999999999977,488.883,485.684,496.923,491.084,checkbox
35,RCL,8.039999999999964,5.400000000000034,488.607,471.109,496.647,476.509,checkbox
4,Lung NonSmall Cell Cancer,8.039999999999992,5.399999999999977,115.2,467.16,123.24,472.56,checkbox
36,MRI,8.039999999999964,5.399999999999977,489.098,456.709,497.138,462.109,checkbox
5,Lung Limited Small Cell Cancer,8.039999999999992,5.400000000000034,115.2,443.64,123.24,449.04,checkbox
37,Pathology,8.04000000000002,5.399999999999977,488.28,442.309,496.32,447.709,checkbox
6,Lung Solitary Pulmonary Nodule SPN,8.039999999999992,5.399999999999977,115.2,420.12,123.24,425.52,checkbox
33,CLINICAL HISTORY,285.12,75.48000000000002,302.52,335.52,587.64,411,text fillup
7,Lymphoma Assess Treatment post 23,8.039999999999992,5.400000000000034,115.2,396.84,123.24,402.24,checkbox
8,Lymphoma Residual Mass post therapy,8.039999999999992,5.400000000000034,115.2,359.28,123.24,364.68,checkbox
9,Testicular Cancer recurrent,8.039999999999992,5.399999999999977,115.2,335.88,123.24,341.28,checkbox
10,Thyroid Cancer recurrent,8.039999999999992,5.399999999999977,115.2,312.36,123.24,317.76,checkbox
11,Date of I131 WB Scan,89.87999999999997,13.680000000000007,200.4,296.88,290.28,310.56,text fillup
17,Where on body,89.88000000000005,13.680000000000007,484.44,286.56,574.32,300.24,text fillup
16,Date,71.88,13.680000000000007,331.92,286.56,403.8,300.24,text fillup
12,Pancreatic Cancer,8.039999999999992,5.400000000000034,115.2,268.08,123.24,273.48,checkbox
19,Biopsy site,108.00000000000006,13.680000000000007,466.08,247.32,574.08,261,text fillup
18,Date_2,71.88,13.680000000000007,331.92,247.32,403.8,261,text fillup
13,Melanoma,8.039999999999992,5.400000000000006,115.2,247.56,123.24,252.96,checkbox
20,Chemo Drug Used,179.88000000000005,13.680000000000007,388.2,229.2,568.08,242.88,text fillup
14,Cardiac Sarcoid,8.039999999999992,5.400000000000006,115.2,227.04,123.24,232.44,checkbox
21,Number of Cycles,184.44,13.679999999999978,385.56,210.96,570,224.64,text fillup
15,Other Research,179.88,13.680000000000007,112.44,205.92,292.32,219.6,text fillup
22,Date of Last Cycle,184.32,13.680000000000007,385.8,192.84,570.12,206.52,text fillup
23,Radiation Field,197.76,13.680000000000007,374.52,174.72,572.28,188.4,text fillup
24,Number of Treatments,166.32000000000005,13.680000000000007,404.52,156.6,570.84,170.28,text fillup
25,Date of last Treatment,166.56000000000006,13.680000000000007,401.64,138.48,568.2,152.16,text fillup
