,Name,Width,Height,x0,y0,x1,y1,ObjectType
38,Appt Date,214.80000000000007,13.680000000000007,362.52,83.88,577.32,97.56,text fillup
88,Printed name: ,58.314,9.0,38.64,84.966,96.954,93.966,plain text
125,Appt. Date ___________________________________________ ,271.46,9.96,308.69,82.055,580.15,92.015,plain text
57,PET/CT,110.889,27.0,18.84,749.49,129.729,776.49,plain text
39,Appt Time,214.8,13.68,364.32,62.76,579.12,76.44,text fillup
107,LAST NAME: ,44.87,8.04,308.69,751.933,353.56,759.973,plain text
26,LAST NAME,276.00000000000006,13.67999999999995,306.604,739.196,582.604,752.876,text fillup
128,Request Form ,79.34,12.0,28.56,728.82,107.9,740.82,plain text
105,D.O.B.: ,24.09,8.04,486.94,721.813,511.03,729.853,plain text
108,FIRST NAME: ,45.83,8.04,308.69,721.813,354.52,729.853,plain text
32,FIRST NAME,276.0,13.67999999999995,306.895,708.883,582.895,722.563,text fillup
89,Phone #: ,37.314,9.0,38.64,62.526,75.954,71.526,plain text
109,ADDRESS: ,35.51,8.04,308.69,697.553,344.2,705.593,plain text
50,McMaster Hospital ,108.63,12.204,180.02,690.556,288.65,702.76,plain text
40,St. Joseph's Hospital ,112.968,12.0,36.0,690.76,148.968,702.76,plain text
126,Appt. Time ___________________________________________ ,273.26,9.96,308.69,60.935,581.95,70.895,plain text
27,ADDRESS,276.00000000000006,13.67999999999995,307.2,681.84,583.2,695.52,text fillup
51,Nuclear Medicine Department ,110.16,8.04,180.02,680.873,290.18,688.913,plain text
41,Nuclear Medicine & Molecular ,113.51,8.04,36.0,680.873,149.51,688.913,plain text
52,1200 Main Street West ,80.64,8.04,180.02,670.913,260.66,678.953,plain text
42,Imaging Department ,76.43,8.04,36.0,670.913,112.43,678.953,plain text
104,POSTAL CODE ,49.77,8.04,488.74,665.513,538.51,673.553,plain text
103,CITY/PROV ,40.07,8.04,308.69,665.513,348.76,673.553,plain text
53,"Hamilton, ON L8N 3Z5 ",83.76,8.643,180.02,660.593,263.78,669.236,plain text
43,Fontbonne Building F-129 ,95.87,8.04,36.0,660.593,131.87,668.633,plain text
28,PHONE,276.00000000000006,13.67999999999995,307.2,650.88,583.2,664.56,text fillup
54,Phone: (905) 521-2100 Ext. 75274 ,116.043,8.04,180.02,650.753,296.063,658.793,plain text
44,50 Charlton Avenue East ,90.23,8.04,36.0,650.753,126.23,658.793,plain text
55,Fax: (905) 521-2358 ,78.6,8.04,180.02,640.793,258.62,648.833,plain text
45,"Hamilton, ON L8N 4A6 ",90.71,8.04,36.0,640.793,126.71,648.833,plain text
110,PHONE: ,29.96,8.04,308.69,637.553,338.65,645.593,plain text
111, DAYTIME ,25.268,6.48,343.63,637.993,368.898,644.473,plain text
46,Phone: ,29.13,8.177,36.0,630.833,65.13,639.009,plain text
56,(Pediatrics and Cardiac ,90.48,8.04,179.99,630.969,270.47,639.009,plain text
49,"(905) 522-1155, Ext. 32746 ",95.576,8.177,72.024,630.833,167.6,639.009,plain text
106,M  F  ,54.354,10.558,488.74,625.421,543.094,635.978,plain text
29,F,8.879999999999995,6.0,534.24,628.08,543.12,634.08,checkbox
112, EVENING ,26.164,5.04,341.219,626.639,367.383,631.679,plain text
47,Fax: ,22.68,11.04,36.0,617.454,58.68,628.494,plain text
48,(905) 308-7215 ,70.766,11.04,72.024,617.454,142.79,628.494,plain text
58,Viability Only) ,58.2,8.04,180.02,618.249,238.22,626.289,plain text
113,OHIP#: ,25.55,8.04,308.69,602.393,334.24,610.433,plain text
30,OHIP,276.00000000000006,7.680000000000064,307.2,595.8,583.2,603.48,text fillup
90,________________________________________________________ ,254.42,9.0,38.64,51.366,293.06,60.366,plain text
60,EXAM REQUESTED (be specific): ,157.19,9.96,38.64,589.781,195.83,599.741,plain text
114,DIABETIC: YES  No  ,94.91,9.54,308.69,578.035,403.6,587.575,plain text
31,DIABETIC MEDICATIONS,184.19999999999993,13.680000000000064,393.72,563.4,577.92,577.08,text fillup
61,Insured Services:  Cardiac Perfusion Scan (PET Only) ,232.34,9.693,38.64,567.322,270.98,577.015,plain text
115,DIABETIC MEDICATIONS: ______________________________________________ ,271.22,8.04,308.69,561.953,579.91,569.993,plain text
64, Cardiac Viability Scan (PET Only) ,152.76,9.693,115.22,546.802,267.98,556.495,plain text
0,Cardiac Viability Scan PET Only 2,8.039999999999992,5.399999999999977,115.2,549.36,123.24,554.76,checkbox
117,Patient Weight(kg):________ ,128.76,10.129,452.71,532.731,581.47,542.861,plain text
116,Patient Height(cm):________ ,129.169,10.129,308.69,532.731,437.859,542.861,plain text
65," Colorectal Cancer, recurrent ",127.08,9.693,115.22,526.252,242.3,535.945,plain text
1,Colorectal Cancer recurrent,8.039999999999992,5.399999999999977,115.2,528.84,123.24,534.24,checkbox
127,We Welcome your Referrals ,126.12,9.96,383.35,42.765,509.47,52.725,plain text
66, Esophageal Cancer ,90.84,9.693,115.22,505.612,206.06,515.305,plain text
2,Esophageal Cancer,8.039999999999992,5.400000000000034,115.2,508.2,123.24,513.6,checkbox
118,Please provide the following: (check all that apply) ,212.78,9.96,308.69,501.191,521.47,511.151,plain text
67," Germ Cell Cancer, recurrent ",127.2,9.693,115.22,485.092,242.42,494.785,plain text
3,Germ Cell Cancer recurrent,8.039999999999992,5.399999999999977,115.2,487.68,123.24,493.08,checkbox
119,CD with Recent CT Scans ,110.25,9.0,344.71,482.452,454.96,491.452,plain text
34,CT,8.04000000000002,5.399999999999977,488.883,485.684,496.923,491.084,checkbox
91,Copies of report to: ,79.19,9.0,38.64,40.446,117.83,49.446,plain text
120,Relevant Consultation Letter ,116.85,9.0,344.71,467.932,461.56,476.932,plain text
35,RCL,8.039999999999964,5.400000000000034,488.607,471.109,496.647,476.509,checkbox
68, Lung: Non-Small Cell Cancer ,134.52,9.693,115.22,464.572,249.74,474.265,plain text
4,Lung NonSmall Cell Cancer,8.039999999999992,5.399999999999977,115.2,467.16,123.24,472.56,checkbox
121,CT / MRI Imaging Report ,110.25,9.0,344.71,453.412,454.96,462.412,plain text
36,MRI,8.039999999999964,5.399999999999977,489.098,456.709,497.138,462.109,checkbox
62, ,7.164,8.04,36.0,445.182,43.164,453.222,plain text
63, Lung: Limited Small Cell Cancer ,149.76,9.693,115.22,441.052,264.98,450.745,plain text
5,Lung Limited Small Cell Cancer,8.039999999999992,5.400000000000034,115.2,443.64,123.24,449.04,checkbox
122,Pathology / Biopsy Report ,110.25,9.0,344.71,438.892,454.96,447.892,plain text
37,Pathology,8.04000000000002,5.399999999999977,488.28,442.309,496.32,447.709,checkbox
69, Lung: Solitary Pulmonary Nodule (SPN) ,179.28,9.693,115.22,417.532,294.5,427.225,plain text
6,Lung Solitary Pulmonary Nodule SPN,8.039999999999992,5.399999999999977,115.2,420.12,123.24,425.52,checkbox
123,CLINICAL HISTORY ,123.39,12.0,384.91,408.37,508.3,420.37,plain text
33,CLINICAL HISTORY,285.12,75.48000000000002,302.52,335.52,587.64,411,text fillup
70, Lymphoma: Assess Treatment (post 2-3 ,167.4,9.675,115.22,394.27,282.62,403.945,plain text
7,Lymphoma Assess Treatment post 23,8.039999999999992,5.400000000000034,115.2,396.84,123.24,402.24,checkbox
71,cycles) ,26.61,9.0,115.22,380.11,141.83,389.11,plain text
72, Lymphoma: Residual Mass post therapy ,168.84,9.675,115.22,356.81,284.06,366.485,plain text
8,Lymphoma Residual Mass post therapy,8.039999999999992,5.400000000000034,115.2,359.28,123.24,364.68,checkbox
73," Testicular Cancer, recurrent ",125.64,9.693,115.22,333.392,240.86,343.085,plain text
9,Testicular Cancer recurrent,8.039999999999992,5.399999999999977,115.2,335.88,123.24,341.28,checkbox
101,Please complete (if applicable): ,130.31,9.0,308.69,317.345,439.0,326.345,plain text
74," Thyroid Cancer, recurrent ",118.8,9.693,115.22,309.872,234.02,319.565,plain text
10,Thyroid Cancer recurrent,8.039999999999992,5.399999999999977,115.2,312.36,123.24,317.76,checkbox
102,Relevant Surgery: YES  No  ,137.39,9.693,308.69,303.032,446.08,312.725,plain text
11,Date of I131 WB Scan,89.87999999999997,13.680000000000007,200.4,296.88,290.28,310.56,text fillup
75,Date of I131 WB Scan: ____________________ ,177.36,9.153,115.22,295.232,292.58,304.385,plain text
17,Where on body,89.88000000000005,13.680000000000007,484.44,286.56,574.32,300.24,text fillup
16,Date,71.88,13.680000000000007,331.92,286.56,403.8,300.24,text fillup
92,Date: ________________ Where on body? ____________________ ,267.98,9.0,308.69,284.912,576.67,293.912,plain text
77, Pancreatic Cancer ,86.16,9.693,115.22,265.592,201.38,275.285,plain text
76,Registry: ,38.994,9.0,38.64,265.745,77.634,274.745,plain text
93,Biopsy: YES  No  ,94.919,9.693,308.69,263.792,403.609,273.485,plain text
12,Pancreatic Cancer,8.039999999999992,5.400000000000034,115.2,268.08,123.24,273.48,checkbox
19,Biopsy site,108.00000000000006,13.680000000000007,466.08,247.32,574.08,261,text fillup
18,Date_2,71.88,13.680000000000007,331.92,247.32,403.8,261,text fillup
78, Melanoma ,57.33,9.693,115.22,245.072,172.55,254.765,plain text
94,Date: ________________ Biopsy site? ________________________ ,267.74,9.0,308.69,245.672,576.43,254.672,plain text
13,Melanoma,8.039999999999992,5.400000000000006,115.2,247.56,123.24,252.96,checkbox
20,Chemo Drug Used,179.88000000000005,13.680000000000007,388.2,229.2,568.08,242.88,text fillup
95,Chemo Drug Used: ________________________________________ ,261.74,9.153,308.69,227.552,570.43,236.705,plain text
79, Cardiac Sarcoid ,77.85,9.693,115.22,224.552,193.07,234.245,plain text
14,Cardiac Sarcoid,8.039999999999992,5.400000000000006,115.2,227.04,123.24,232.44,checkbox
21,Number of Cycles,184.44,13.679999999999978,385.56,210.96,570,224.64,text fillup
15,Other Research,179.88,13.680000000000007,112.44,205.92,292.32,219.6,text fillup
96,Number of Cycles: _________________________________________ ,263.66,9.153,308.69,209.312,572.35,218.465,plain text
80,Other (Research): ________________________________________ ,256.1,9.0,38.64,204.425,294.74,213.425,plain text
59,March 2013 ,37.524,6.96,36.0,14.141,73.524,21.101,plain text
22,Date of Last Cycle,184.32,13.680000000000007,385.8,192.84,570.12,206.52,text fillup
97,Date of Last Cycle: _________________________________________ ,263.78,9.153,308.69,191.192,572.47,200.345,plain text
81,"For patients who may benefit from PET, but who do not meet the eligibility ",242.743,6.96,38.64,186.606,281.383,193.566,plain text
23,Radiation Field,197.76,13.680000000000007,374.52,174.72,572.28,188.4,text fillup
83,"criteria, please visit the website www.petscansontario.ca to download forms for ",255.172,6.96,38.64,175.656,293.812,182.616,plain text
98,Radiation Field: ____________________________________________ ,266.06,9.153,308.69,173.042,574.75,182.195,plain text
84,the PET Access Program and obtain information regarding currently available ,249.704,6.96,38.64,164.616,288.344,171.576,plain text
24,Number of Treatments,166.32000000000005,13.680000000000007,404.52,156.6,570.84,170.28,text fillup
99,Number of Treatments: _____________________________________ ,264.5,9.153,308.69,154.922,573.19,164.075,plain text
82,clinical trials. ,44.964,6.96,38.64,153.696,83.604,160.656,plain text
25,Date of last Treatment,166.56000000000006,13.680000000000007,401.64,138.48,568.2,152.16,text fillup
100,Date of last Treatment: _____________________________________ ,261.86,9.153,308.69,136.802,570.55,145.955,plain text
85,REFERRING PHYSICIAN ,101.87,9.96,38.64,124.701,140.51,134.661,plain text
86,Signature: ,42.834,9.0,38.64,107.282,81.474,116.282,plain text
124,Patients MUST fast for 4 hours prior to test. ,176.88,9.153,357.79,106.922,534.67,116.075,plain text
87,_______________________________________________________ ,249.98,9.0,38.64,96.126,288.62,105.126,plain text
