,Name,Width,Height,x0,y0,x1,y1,ObjectType
27,lname,117.0,16.5,307.5,660.75,424.5,677.25,text fillup
28,fname,127.5,16.5,425.5,660.5,553.0,677.0,text fillup
29,dob,114.75,16.5,339.75,642.75,454.5,659.25,text fillup
3,requestdate,127.5,23.625,151.5,619.125,279.0,642.75,text fillup
30,gender,48.0,16.5,364.5,624.75,412.5,641.25,text fillup
31,phone,198.75,16.5,354.75,605.25,553.5,621.75,text fillup
32,email,205.5,16.5,348.0,588.0,553.5,604.5,text fillup
4,F1,21.5,20.0,50.5,553.5,72.0,573.5,checkbox
7,F7,22.0,20.0,337.0,553.5,359.0,573.5,checkbox
0,F4,22.0,20.0,199.5,553.5,221.5,573.5,checkbox
5,F2,21.5,20.0,50.5,535.5,72.0,555.5,checkbox
8,F8,22.0,20.0,337.0,535.5,359.0,555.5,checkbox
1,F5,22.0,20.0,199.5,535.5,221.5,555.5,checkbox
6,F3,21.5,20.0,50.5,517.0,72.0,537.0,checkbox
9,F9,22.0,20.0,337.0,517.0,359.0,537.0,checkbox
2,F6,22.0,20.0,199.5,517.0,221.5,537.0,checkbox
10,other,164.25,16.875,403.125,518.25,567.375,535.125,text fillup
26,hbeag2,21.0,19.5,551.5,487.0,572.5,506.5,checkbox
25,hbeag1,21.0,19.5,523.0,487.0,544.0,506.5,checkbox
45,hbv dna,63.5,14.0,431.0,483.5,494.5,497.5,text fillup
44,platelets,44.0,13.5,331.0,484.0,375.0,497.5,text fillup
41,alt,45.0,14.0,89.5,483.0,134.5,497.0,text fillup
43,alp,46.0,13.0,232.0,483.5,278.0,496.5,text fillup
42,ast,42.0,13.0,162.0,483.0,204.0,496.0,text fillup
46,question,503.99999999999994,74.39999999999998,58.8,406.8,562.8,481.2,text fillup
33,cc1,236.0,15.0,61.5,363.5,297.5,378.5,text fillup
36,cc4,236.0,15.0,324.0,361.5,560.0,376.5,text fillup
34,cc2,236.0,15.0,61.5,349.0,297.5,364.0,text fillup
37,cc5,236.0,15.0,324.0,346.5,560.0,361.5,text fillup
35,cc3,236.0,15.0,61.5,334.0,297.5,349.0,text fillup
38,cc6,236.0,15.0,324.0,332.0,560.0,347.0,text fillup
39,cc7,236.0,15.0,61.5,319.0,297.5,334.0,text fillup
40,cc8,236.0,15.0,324.0,317.0,560.0,332.0,text fillup
17,L7,21.75,20.25,320.25,255.0,342.0,275.25,checkbox
11,L1,21.75,20.25,51.0,254.625,72.75,274.875,checkbox
18,L8,21.75,20.25,320.25,236.25,342.0,256.5,checkbox
19,L9,21.75,20.25,320.25,216.0,342.0,236.25,checkbox
12,L2,21.75,20.25,51.0,211.125,72.75,231.375,checkbox
20,L10,21.75,20.25,320.25,197.25,342.0,217.5,checkbox
13,L3,21.75,20.25,51.0,180.75,72.75,201.0,checkbox
21,L11,21.75,20.25,320.25,178.5,342.0,198.75,checkbox
22,L12,21.75,20.25,320.25,159.375,342.0,179.625,checkbox
14,L4,21.75,20.25,51.0,148.5,72.75,168.75,checkbox
23,L13,21.75,20.25,320.25,139.875,342.0,160.125,checkbox
24,L14,21.75,20.25,320.25,120.75,342.0,141.0,checkbox
15,L5,21.75,20.25,51.0,117.0,72.75,137.25,checkbox
16,L6,21.75,20.25,51.0,97.5,72.75,117.75,checkbox
